Title,Description,Priority,Labels,Status
Inventory not decremented when order is placed,"Product inventory counts are not being reduced when customers place orders. Warehouse physical counts don't match system counts. Customers can order items that are actually out of stock.",1,Bug,Backlog
Customers able to apply same coupon code multiple times,"Applying the same coupon code repeatedly on the checkout page stacks the discount. Each application increases the discount amount. Checkout display total differs from actual charged amount.",1,Bug,Backlog
Order total off by a penny on some orders,"On certain orders the total doesn't exactly match subtotal + tax + shipping. Discrepancy is 1-2 cents. Depends on specific dollar amounts involved.",3,Bug,Backlog
Cancelled orders don't restore inventory,"When an order is cancelled (by customer or admin) the inventory for those products is not added back. Leads to phantom out-of-stock situations.",2,Bug,Backlog
Product search returns server error on special characters,"Searching for terms with apostrophes or special characters causes 500 error. Potential injection risk flagged by security consultant.",2,Bug,Backlog
Cart still shows items after completing checkout,"After placing an order the cart retains all items. Cart persists on page refresh. Customers can accidentally create duplicate orders.",2,Bug,Backlog
Product ratings seem wrong on product detail pages,"Average rating on product pages doesn't match actual average of all reviews. Discrepancy increases with number of reviews. Products with many reviews show inaccurate ratings.",3,Bug,Backlog
Order status jumps skipping required steps,"Multiple warehouse users can simultaneously update order status causing out-of-sequence transitions. Orders can go from processing to delivered skipping shipped.",3,Bug,Backlog
Last page of products not accessible,"Pagination shows fewer pages than needed. When total products don't divide evenly by page size the last partial page is inaccessible. Some products are unreachable through browsing.",3,Bug,Backlog
Expired coupon codes still being accepted,"Coupons continue working for several hours past their expiration date. Undermines time-limited promotions.",3,Bug,Backlog
Remove old homepage hero section behind SALE_BANNER flag,"SALE_BANNER feature flag permanently enabled. Old hero section and HeroBannerClassic component are dead code behind the else branch.",4,Tech Debt,Backlog
Clean up PRODUCT_RECOMMENDATIONS feature flag dead code,"PRODUCT_RECOMMENDATIONS flag permanently enabled. Dead else branch with getRandomProducts function never executes.",4,Tech Debt,Backlog
Clean up INVENTORY_ALERTS feature flag dead code,"INVENTORY_ALERTS flag permanently enabled. Dead else branch in product detail page never executes.",4,Tech Debt,Backlog
Remove unused legacy integration functions,"legacy.ts contains exported functions for ShipStation Shopify Mailchimp QuickBooks integrations that were never shipped. Functions are imported in one file but never called.",4,Tech Debt,Backlog
Remove orphaned /api/v1/products endpoint,"Duplicate products API at /api/v1/products returns different response shape. Nothing in the frontend uses it. Leftover from abandoned API redesign.",4,Tech Debt,Backlog
Remove orphaned OldCheckoutForm and ProductQuickView components,"Two fully-built components that are never rendered. OldCheckoutForm is the old multi-step checkout. ProductQuickView is an unfinished modal feature. Unused import exists in products page.",4,Tech Debt,Backlog
Allow guest checkout without account creation,"34% cart abandonment at login wall. GUEST_CHECKOUT flag exists but nothing is wired up. Need full guest checkout flow without account requirement.",2,Feature Request,Backlog
Implement wishlist / save for later,"23 customer requests for save-for-later functionality. WISHLIST flag exists but feature not implemented. No database table API or UI.",3,Feature Request,Backlog
Public order tracking page,"Customers need self-service order tracking at /track with order number and email lookup. Currently 30% of support tickets are order status inquiries.",3,Feature Request,Backlog
Multiple product images with gallery view,"Products limited to single image. Need multi-image support with thumbnail carousel on product detail page. 18% return rate partly due to insufficient product photography.",3,Feature Request,Backlog
Bulk inventory update via CSV upload,"Warehouse staff need CSV upload in admin to update inventory counts in bulk. Currently takes 1+ hour to update 50 SKUs one by one.",2,Feature Request,Backlog
Order email notifications,"No transactional emails sent. Need order confirmation shipping notification and delivery confirmation emails. Generates ~20 support tickets per week.",2,Feature Request,Backlog
